term_str|n|p|i|dfidf|porter_stem|max_pos|max_pos_group|stop|ngram_length
5|197|0.03324555628703094|4.910694671750289|495.98016184677914|5|CD|OTHER|0|1
50|49|0.01152073732718894|6.439623137557117|225.3868098144991|50|CD|OTHER|0|1
500|3|0.0009874917709019092|9.983943653780928|29.951830961342786|500|CD|OTHER|0|1
5000|2|0.0006583278472679394|10.568906154502084|21.13781230900417|5000|CD|OTHER|0|1
50000|1|0.0003291639236339697|11.568906154502084|11.568906154502084|50000|CD|OTHER|0|1
504|4|0.0003291639236339697|11.568906154502084|11.568906154502084|504|CD|OTHER|0|1
5050|4|0.0009874917709019092|9.983943653780928|29.951830961342786|5050|CD|OTHER|0|1
508|6|0.0006583278472679394|10.568906154502084|21.13781230900417|508|CD|OTHER|0|1
50k|1|0.0003291639236339697|11.568906154502084|11.568906154502084|50k|CD|OTHER|0|1
50lets|1|0.0003291639236339697|11.568906154502084|11.568906154502084|50let|CD|OTHER|0|1
50s|3|0.0006583278472679394|10.568906154502084|21.13781230900417|50|CD|OTHER|0|1
50somethings|1|0.0003291639236339697|11.568906154502084|11.568906154502084|50someth|CD|OTHER|0|1
54|4|0.0009874917709019092|9.983943653780928|29.951830961342786|54|NN|NOUN|0|1
54s|1|0.0003291639236339697|11.568906154502084|11.568906154502084|54|CD|OTHER|0|1
55|1|0.0003291639236339697|11.568906154502084|11.568906154502084|55|CD|OTHER|0|1
550|1|0.0003291639236339697|11.568906154502084|11.568906154502084|550|CD|OTHER|0|1
5508|2|0.0006583278472679394|10.568906154502084|21.13781230900417|5508|CD|OTHER|0|1
555|1|0.0003291639236339697|11.568906154502084|11.568906154502084|555|CD|OTHER|0|1
56|3|0.0009874917709019092|9.983943653780928|29.951830961342786|56|CD|OTHER|0|1
57|1|0.0003291639236339697|11.568906154502084|11.568906154502084|57|CD|OTHER|0|1
58|22|0.0009874917709019092|9.983943653780928|29.951830961342786|58|CD|OTHER|0|1
5808|2|0.0006583278472679394|10.568906154502084|21.13781230900417|5808|CD|OTHER|0|1
5908|2|0.0006583278472679394|10.568906154502084|21.13781230900417|5908|CD|OTHER|0|1
5k|1|0.0003291639236339697|11.568906154502084|11.568906154502084|5k|CD|OTHER|0|1
5s|3|0.0009874917709019092|9.983943653780928|29.951830961342786|5s|CD|OTHER|0|1
5th|38|0.003949967083607637|7.983943653780927|95.80732384537113|5th|CD|OTHER|0|1
6|142|0.026991441737985518|5.2113541498839995|427.331040290488|6|CD|OTHER|0|1
60|7|0.002304147465437788|8.761551232444479|61.330858627111354|60|CD|OTHER|0|1
600|2|0.0006583278472679394|10.568906154502084|21.13781230900417|600|CD|OTHER|0|1
60000|1|0.0003291639236339697|11.568906154502084|11.568906154502084|60000|CD|OTHER|0|1
608|10|0.0006583278472679394|10.568906154502084|21.13781230900417|608|CD|OTHER|0|1
64|3|0.0009874917709019092|9.983943653780928|29.951830961342786|64|CD|OTHER|0|1
64499|1|0.0003291639236339697|11.568906154502084|11.568906154502084|64499|CD|OTHER|0|1
645|2|0.0006583278472679394|10.568906154502084|21.13781230900417|645|CD|OTHER|0|1
65|2|0.0006583278472679394|10.568906154502084|21.13781230900417|65|CD|OTHER|0|1
650|1|0.0003291639236339697|11.568906154502084|11.568906154502084|650|CD|OTHER|0|1
6508|2|0.0006583278472679394|10.568906154502084|21.13781230900417|6508|CD|OTHER|0|1
66|2|0.0006583278472679394|10.568906154502084|21.13781230900417|66|CD|OTHER|0|1
6608|2|0.0006583278472679394|10.568906154502084|21.13781230900417|6608|CD|OTHER|0|1
67|1|0.0003291639236339697|11.568906154502084|11.568906154502084|67|CD|OTHER|0|1
680|1|0.0003291639236339697|11.568906154502084|11.568906154502084|680|CD|OTHER|0|1
68000|1|0.0003291639236339697|11.568906154502084|11.568906154502084|68000|CD|OTHER|0|1
69|7|0.002304147465437788|8.761551232444479|61.330858627111354|69|CD|OTHER|0|1
6908|2|0.0006583278472679394|10.568906154502084|21.13781230900417|6908|CD|OTHER|0|1
6am|1|0.0003291639236339697|11.568906154502084|11.568906154502084|6am|CD|OTHER|0|1
6foot|1|0.0003291639236339697|11.568906154502084|11.568906154502084|6foot|CD|OTHER|0|1
6ix|10|0.0016458196181698486|9.24697805961472|46.2348902980736|6ix|CD|OTHER|0|1
6ix9ine|2|0.0003291639236339697|11.568906154502084|11.568906154502084|6ix9in|CD|OTHER|0|1
6s|5|0.0016458196181698486|9.24697805961472|46.2348902980736|6s|CD|OTHER|0|1
6speed|4|0.0009874917709019092|9.983943653780928|29.951830961342786|6speed|CD|OTHER|0|1
6th|31|0.0029624753127057276|8.39898115305977|75.59083037753793|6th|CD|OTHER|0|1
7|78|0.014812376563528637|6.0770530581724085|273.4673876177584|7|CD|OTHER|0|1
70|5|0.0016458196181698486|9.24697805961472|46.2348902980736|70|CD|OTHER|0|1
700|2|0.0006583278472679394|10.568906154502084|21.13781230900417|700|CD|OTHER|0|1
7008|4|0.0006583278472679394|10.568906154502084|21.13781230900417|7008|CD|OTHER|0|1
708|8|0.0006583278472679394|10.568906154502084|21.13781230900417|708|CD|OTHER|0|1
70s|5|0.0016458196181698486|9.24697805961472|46.2348902980736|70|CD|OTHER|0|1
7408|2|0.0006583278472679394|10.568906154502084|21.13781230900417|7408|CD|OTHER|0|1
75|2|0.0003291639236339697|11.568906154502084|11.568906154502084|75|CD|OTHER|0|1
750|2|0.0006583278472679394|10.568906154502084|21.13781230900417|750|CD|OTHER|0|1
758|1|0.0003291639236339697|11.568906154502084|11.568906154502084|758|CD|OTHER|0|1
76|1|0.0003291639236339697|11.568906154502084|11.568906154502084|76|POS|OTHER|0|1
7608|2|0.0006583278472679394|10.568906154502084|21.13781230900417|7608|CD|OTHER|0|1
769|1|0.0003291639236339697|11.568906154502084|11.568906154502084|769|CD|OTHER|0|1
77|1|0.0003291639236339697|11.568906154502084|11.568906154502084|77|CD|OTHER|0|1
7708|6|0.0006583278472679394|10.568906154502084|21.13781230900417|7708|CD|OTHER|0|1
78|2|0.0003291639236339697|11.568906154502084|11.568906154502084|78|CD|OTHER|0|1
7808|2|0.0006583278472679394|10.568906154502084|21.13781230900417|7808|CD|OTHER|0|1
79|1|0.0003291639236339697|11.568906154502084|11.568906154502084|79|CD|OTHER|0|1
799|1|0.0003291639236339697|11.568906154502084|11.568906154502084|799|CD|OTHER|0|1
7am|1|0.0003291639236339697|11.568906154502084|11.568906154502084|7am|CD|OTHER|0|1
7eleven|1|0.0003291639236339697|11.568906154502084|11.568906154502084|7eleven|CD|OTHER|0|1
7s|1|0.0003291639236339697|11.568906154502084|11.568906154502084|7s|CD|OTHER|0|1
7th|25|0.0013166556945358788|9.568906154502084|38.27562461800834|7th|CD|OTHER|0|1
7up|3|0.0009874917709019092|9.983943653780928|29.951830961342786|7up|CD|OTHER|0|1
8|74|0.013824884792626729|6.1765887317233235|259.4167267323796|8|CD|OTHER|0|1
80|15|0.004608294930875576|7.7615512324444795|108.66171725422271|80|CD|OTHER|0|1
800|1|0.0003291639236339697|11.568906154502084|11.568906154502084|800|CD|OTHER|0|1
8008|2|0.0006583278472679394|10.568906154502084|21.13781230900417|8008|CD|OTHER|0|1
8009|1|0.0003291639236339697|11.568906154502084|11.568906154502084|8009|CD|OTHER|0|1
808|11|0.0019749835418038184|8.983943653780928|53.90366192268557|808|CD|OTHER|0|1
808s|1|0.0003291639236339697|11.568906154502084|11.568906154502084|808|CD|OTHER|0|1
80k|1|0.0003291639236339697|11.568906154502084|11.568906154502084|80k|CD|OTHER|0|1
80s|7|0.0019749835418038184|8.983943653780928|53.90366192268557|80|CD|OTHER|0|1
84|1|0.0003291639236339697|11.568906154502084|11.568906154502084|84|NNP|NOUN|0|1
8408|4|0.0006583278472679394|10.568906154502084|21.13781230900417|8408|CD|OTHER|0|1
85|6|0.0013166556945358788|9.568906154502084|38.27562461800834|85|CD|OTHER|0|1
850|1|0.0003291639236339697|11.568906154502084|11.568906154502084|850|CD|OTHER|0|1
8508|2|0.0006583278472679394|10.568906154502084|21.13781230900417|8508|CD|OTHER|0|1
86|2|0.0006583278472679394|10.568906154502084|21.13781230900417|86|CD|OTHER|0|1
868|1|0.0003291639236339697|11.568906154502084|11.568906154502084|868|CD|OTHER|0|1
87|1|0.0003291639236339697|11.568906154502084|11.568906154502084|87|JJ|ADJ|0|1
8708|2|0.0006583278472679394|10.568906154502084|21.13781230900417|8708|CD|OTHER|0|1
876|1|0.0003291639236339697|11.568906154502084|11.568906154502084|876|CD|OTHER|0|1
88|3|0.0006583278472679394|10.568906154502084|21.13781230900417|88|CD|OTHER|0|1
8808|4|0.0006583278472679394|10.568906154502084|21.13781230900417|8808|CD|OTHER|0|1
888cutsomething|1|0.0003291639236339697|11.568906154502084|11.568906154502084|888cutsometh|CD|OTHER|0|1
89|1|0.0003291639236339697|11.568906154502084|11.568906154502084|89|CD|OTHER|0|1
898|1|0.0003291639236339697|11.568906154502084|11.568906154502084|898|CD|OTHER|0|1
8am|1|0.0003291639236339697|11.568906154502084|11.568906154502084|8am|CD|OTHER|0|1
8th|34|0.0019749835418038184|8.983943653780928|53.90366192268557|8th|CD|OTHER|0|1
8track|1|0.0003291639236339697|11.568906154502084|11.568906154502084|8track|CD|OTHER|0|1
8x|1|0.0003291639236339697|11.568906154502084|11.568906154502084|8x|CD|OTHER|0|1
9|114|0.016458196181698487|5.925049964727359|296.25249823636796|9|CD|OTHER|0|1
90|1|0.0003291639236339697|11.568906154502084|11.568906154502084|90|CD|OTHER|0|1
900|1|0.0003291639236339697|11.568906154502084|11.568906154502084|900|CD|OTHER|0|1
900msminaj|1|0.0003291639236339697|11.568906154502084|11.568906154502084|900msminaj|CD|OTHER|0|1
908|7|0.0009874917709019092|9.983943653780928|29.951830961342786|908|CD|OTHER|0|1
90s|7|0.002304147465437788|8.761551232444479|61.330858627111354|90|JJ|ADJ|0|1
90th|1|0.0003291639236339697|11.568906154502084|11.568906154502084|90th|CD|OTHER|0|1
94|9|0.0019749835418038184|8.983943653780928|53.90366192268557|94|CD|OTHER|0|1
944|1|0.0003291639236339697|11.568906154502084|11.568906154502084|944|CD|OTHER|0|1
948|4|0.0013166556945358788|9.568906154502084|38.27562461800834|948|CD|OTHER|0|1
95|7|0.0019749835418038184|8.983943653780928|53.90366192268557|95|CD|OTHER|0|1
9508|2|0.0006583278472679394|10.568906154502084|21.13781230900417|9508|CD|OTHER|0|1
954|2|0.0006583278472679394|10.568906154502084|21.13781230900417|954|CD|OTHER|0|1
96|6|0.0019749835418038184|8.983943653780928|53.90366192268557|96|CD|OTHER|0|1
968|1|0.0003291639236339697|11.568906154502084|11.568906154502084|968|CD|OTHER|0|1
969|2|0.0006583278472679394|10.568906154502084|21.13781230900417|969|CD|OTHER|0|1
97|11|0.0032916392363396972|8.24697805961472|82.4697805961472|97|CD|OTHER|0|1
98|5|0.0013166556945358788|9.568906154502084|38.27562461800834|98|CD|OTHER|0|1
98000|1|0.0003291639236339697|11.568906154502084|11.568906154502084|98000|CD|OTHER|0|1
9808|4|0.0006583278472679394|10.568906154502084|21.13781230900417|9808|CD|OTHER|0|1
989|5|0.0009874917709019092|9.983943653780928|29.951830961342786|989|CD|OTHER|0|1
99|10|0.0029624753127057276|8.39898115305977|75.59083037753793|99|CD|OTHER|0|1
9908|2|0.0006583278472679394|10.568906154502084|21.13781230900417|9908|CD|OTHER|0|1
996|1|0.0003291639236339697|11.568906154502084|11.568906154502084|996|CD|OTHER|0|1
998|1|0.0003291639236339697|11.568906154502084|11.568906154502084|998|CD|OTHER|0|1
9am|1|0.0003291639236339697|11.568906154502084|11.568906154502084|9am|CD|OTHER|0|1
9s|2|0.0006583278472679394|10.568906154502084|21.13781230900417|9s|CD|OTHER|0|1
9th|33|0.003620803159973667|8.109474535864786|89.20421989451265|9th|CD|OTHER|0|1
___|1|0.0003291639236339697|11.568906154502084|11.568906154502084|___|RB|ADV|0|1
_________________________________________________________________|9|0.0003291639236339697|11.568906154502084|11.568906154502084|_________________________________________________________________|NNP|NOUN|0|1
a|18348|0.8107307439104674|0.30270524200312254|745.5630110536908|a|DT|OTHER|1|1
a8|2|0.0006583278472679394|10.568906154502084|21.13781230900417|a8|NN|NOUN|0|1
aa|57|0.0026333113890717576|8.568906154502084|68.55124923601667|aa|NN|NOUN|0|1
aaaaaaah|1|0.0003291639236339697|11.568906154502084|11.568906154502084|aaaaaaah|JJ|ADJ|0|1
aaaaah|1|0.0003291639236339697|11.568906154502084|11.568906154502084|aaaaah|VBP|VERB|0|1
aaaaayyyyooooo|1|0.0003291639236339697|11.568906154502084|11.568906154502084|aaaaayyyyooooo|NN|NOUN|0|1
aaand|1|0.0003291639236339697|11.568906154502084|11.568906154502084|aaand|NN|NOUN|0|1
aaass|1|0.0003291639236339697|11.568906154502084|11.568906154502084|aaass|NN|NOUN|0|1
aacting|1|0.0003291639236339697|11.568906154502084|11.568906154502084|aact|VBG|VERB|0|1
aah|15|0.0013166556945358788|9.568906154502084|38.27562461800834|aah|NNS|NOUN|0|1
aaha|1|0.0003291639236339697|11.568906154502084|11.568906154502084|aaha|NN|NOUN|0|1
aahooh|1|0.0003291639236339697|11.568906154502084|11.568906154502084|aahooh|IN|OTHER|0|1
aahs|1|0.0003291639236339697|11.568906154502084|11.568906154502084|aah|NN|NOUN|0|1
aaint|1|0.0003291639236339697|11.568906154502084|11.568906154502084|aaint|NN|NOUN|0|1
aalegra|1|0.0003291639236339697|11.568906154502084|11.568906154502084|aalegra|NN|NOUN|0|1
aaliyah|8|0.0013166556945358788|9.568906154502084|38.27562461800834|aaliyah|JJ|ADJ|0|1
aaliyahs|1|0.0003291639236339697|11.568906154502084|11.568906154502084|aaliyah|RB|ADV|0|1
aall|1|0.0003291639236339697|11.568906154502084|11.568906154502084|aall|VBP|VERB|0|1
aan|5|0.0003291639236339697|11.568906154502084|11.568906154502084|aan|NN|NOUN|0|1
aand|1|0.0003291639236339697|11.568906154502084|11.568906154502084|aand|NN|NOUN|0|1
aanwezigheid|1|0.0003291639236339697|11.568906154502084|11.568906154502084|aanwezigheid|NN|NOUN|0|1
aap|18|0.0026333113890717576|8.568906154502084|68.55124923601667|aap|NN|NOUN|0|1
aaron|5|0.0016458196181698486|9.24697805961472|46.2348902980736|aaron|NN|NOUN|0|1
ab|1|0.0003291639236339697|11.568906154502084|11.568906154502084|ab|IN|OTHER|0|1
abababsolutely|1|0.0003291639236339697|11.568906154502084|11.568906154502084|abababsolut|RB|ADV|0|1
abajo|2|0.0006583278472679394|10.568906154502084|21.13781230900417|abajo|NN|NOUN|0|1
abandoned|1|0.0003291639236339697|11.568906154502084|11.568906154502084|abandon|JJ|ADJ|0|1
abandoning|2|0.0006583278472679394|10.568906154502084|21.13781230900417|abandon|VBG|VERB|0|1
abanenkani|1|0.0003291639236339697|11.568906154502084|11.568906154502084|abanenkani|NN|NOUN|0|1
abaziyo|1|0.0003291639236339697|11.568906154502084|11.568906154502084|abaziyo|JJ|ADJ|0|1
abbreviate|1|0.0003291639236339697|11.568906154502084|11.568906154502084|abbrevi|VBP|VERB|0|1
abc|1|0.0003291639236339697|11.568906154502084|11.568906154502084|abc|NN|NOUN|0|1
abcdefghijklmnopqrstuvwxy|1|0.0003291639236339697|11.568906154502084|11.568906154502084|abcdefghijklmnopqrstuvwxi|NN|NOUN|0|1
abcs|1|0.0003291639236339697|11.568906154502084|11.568906154502084|abc|NN|NOUN|0|1
abe|1|0.0003291639236339697|11.568906154502084|11.568906154502084|abe|VBZ|VERB|0|1
abel|10|0.0006583278472679394|10.568906154502084|21.13781230900417|abel|NN|NOUN|0|1
abercrombie|2|0.0006583278472679394|10.568906154502084|21.13781230900417|abercrombi|JJ|ADJ|0|1
abidin|1|0.0003291639236339697|11.568906154502084|11.568906154502084|abidin|VBP|VERB|0|1
abigail|3|0.0006583278472679394|10.568906154502084|21.13781230900417|abigail|NN|NOUN|0|1
ability|4|0.0013166556945358788|9.568906154502084|38.27562461800834|abil|NN|NOUN|0|1
abitch|1|0.0003291639236339697|11.568906154502084|11.568906154502084|abitch|VB|VERB|0|1
ablaze|1|0.0003291639236339697|11.568906154502084|11.568906154502084|ablaz|JJ|ADJ|0|1
able|44|0.009545753785385122|6.710925159374511|194.61682962186083|abl|JJ|ADJ|0|1
ablo|1|0.0003291639236339697|11.568906154502084|11.568906154502084|ablo|JJ|ADJ|0|1
aboard|1|0.0003291639236339697|11.568906154502084|11.568906154502084|aboard|IN|OTHER|0|1
aboarded|1|0.0003291639236339697|11.568906154502084|11.568906154502084|aboard|VBN|VERB|0|1
about|2265|0.2662936142198815|1.9089102620721057|1544.3084020163335|about|IN|OTHER|1|1
abouuut|1|0.0003291639236339697|11.568906154502084|11.568906154502084|abouuut|VBP|VERB|0|1
above|114|0.021724818959842|5.52451203514363|364.6177943194796|abov|IN|OTHER|1|1
abracadab|1|0.0003291639236339697|11.568906154502084|11.568906154502084|abracadab|NN|NOUN|0|1
abraham|1|0.0003291639236339697|11.568906154502084|11.568906154502084|abraham|JJ|ADJ|0|1
abrasive|7|0.002304147465437788|8.761551232444479|61.330858627111354|abras|JJ|ADJ|0|1
abrazan|1|0.0003291639236339697|11.568906154502084|11.568906154502084|abrazan|NN|NOUN|0|1
abre|1|0.0003291639236339697|11.568906154502084|11.568906154502084|abr|NN|NOUN|0|1
abs|1|0.0003291639236339697|11.568906154502084|11.568906154502084|ab|NNS|NOUN|0|1
absence|2|0.0006583278472679394|10.568906154502084|21.13781230900417|absenc|NN|NOUN|0|1
absent|3|0.0009874917709019092|9.983943653780928|29.951830961342786|absent|NN|NOUN|0|1
absentmindedly|3|0.0009874917709019092|9.983943653780928|29.951830961342786|absentmindedli|RB|ADV|0|1
absinthe|1|0.0003291639236339697|11.568906154502084|11.568906154502084|absinth|RP|OTHER|0|1
absolutely|12|0.0026333113890717576|8.568906154502084|68.55124923601667|absolut|RB|ADV|0|1
abstained|6|0.0009874917709019092|9.983943653780928|29.951830961342786|abstain|VBN|VERB|0|1
abstaining|1|0.0003291639236339697|11.568906154502084|11.568906154502084|abstain|VBG|VERB|0|1
abstract|1|0.0003291639236339697|11.568906154502084|11.568906154502084|abstract|JJ|ADJ|0|1
absurd|3|0.0009874917709019092|9.983943653780928|29.951830961342786|absurd|JJ|ADJ|0|1
absurdly|1|0.0003291639236339697|11.568906154502084|11.568906154502084|absurdli|RB|ADV|0|1
abu|4|0.0013166556945358788|9.568906154502084|38.27562461800834|abu|JJ|ADJ|0|1
abuhbuhbuh|1|0.0003291639236339697|11.568906154502084|11.568906154502084|abuhbuhbuh|NN|NOUN|0|1
abuhbuhbuhbuhbuh|2|0.0003291639236339697|11.568906154502084|11.568906154502084|abuhbuhbuhbuhbuh|RB|ADV|0|1
abundance|1|0.0003291639236339697|11.568906154502084|11.568906154502084|abund|NN|NOUN|0|1
abundantly|2|0.0006583278472679394|10.568906154502084|21.13781230900417|abundantli|RB|ADV|0|1
abuse|2|0.0006583278472679394|10.568906154502084|21.13781230900417|abus|VB|VERB|0|1
abusin|1|0.0003291639236339697|11.568906154502084|11.568906154502084|abusin|VBP|VERB|0|1
abusive|1|0.0003291639236339697|11.568906154502084|11.568906154502084|abus|JJ|ADJ|0|1
ac|5|0.0016458196181698486|9.24697805961472|46.2348902980736|ac|RB|ADV|0|1
acabado|2|0.0006583278472679394|10.568906154502084|21.13781230900417|acabado|IN|OTHER|0|1
acabó|11|0.0009874917709019092|9.983943653780928|29.951830961342786|acabó|NN|NOUN|0|1
academy|2|0.0006583278472679394|10.568906154502084|21.13781230900417|academi|NN|NOUN|0|1
acaríciame|2|0.0006583278472679394|10.568906154502084|21.13781230900417|acaríciam|NN|NOUN|0|1
acaso|4|0.0006583278472679394|10.568906154502084|21.13781230900417|acaso|NN|NOUN|0|1
accelerated|2|0.0003291639236339697|11.568906154502084|11.568906154502084|acceler|JJ|ADJ|0|1
accent|6|0.0019749835418038184|8.983943653780928|53.90366192268557|accent|NN|NOUN|0|1
accentcentcentcent|1|0.0003291639236339697|11.568906154502084|11.568906154502084|accentcentcentc|NN|NOUN|0|1
accents|2|0.0006583278472679394|10.568906154502084|21.13781230900417|accent|NNS|NOUN|0|1
accept|32|0.007570770243581304|7.04534419844507|162.0429165642366|accept|VB|VERB|0|1
acceptable|2|0.0006583278472679394|10.568906154502084|21.13781230900417|accept|JJ|ADJ|0|1
acceptance|2|0.0006583278472679394|10.568906154502084|21.13781230900417|accept|NN|NOUN|0|1
accepted|4|0.0013166556945358788|9.568906154502084|38.27562461800834|accept|VBN|VERB|0|1
acceptedit|1|0.0003291639236339697|11.568906154502084|11.568906154502084|acceptedit|NN|NOUN|0|1
acceptin|1|0.0003291639236339697|11.568906154502084|11.568906154502084|acceptin|NN|NOUN|0|1
accepting|11|0.003620803159973667|8.109474535864786|89.20421989451265|accept|VBG|VERB|0|1
access|4|0.0013166556945358788|9.568906154502084|38.27562461800834|access|NN|NOUN|0|1
accident|7|0.002304147465437788|8.761551232444479|61.330858627111354|accid|NN|NOUN|0|1
accidental|1|0.0003291639236339697|11.568906154502084|11.568906154502084|accident|JJ|ADJ|0|1
accidents|8|0.0006583278472679394|10.568906154502084|21.13781230900417|accid|NNS|NOUN|0|1
acclaim|1|0.0003291639236339697|11.568906154502084|11.568906154502084|acclaim|NN|NOUN|0|1
acclaimed|1|0.0003291639236339697|11.568906154502084|11.568906154502084|acclaim|VBD|VERB|0|1
accolades|1|0.0003291639236339697|11.568906154502084|11.568906154502084|accolad|NNS|NOUN|0|1
accommodating|2|0.0006583278472679394|10.568906154502084|21.13781230900417|accommod|VBG|VERB|0|1
accomplice|2|0.0003291639236339697|11.568906154502084|11.568906154502084|accomplic|NN|NOUN|0|1
accomplices|1|0.0003291639236339697|11.568906154502084|11.568906154502084|accomplic|NNS|NOUN|0|1
accomplish|3|0.0009874917709019092|9.983943653780928|29.951830961342786|accomplish|VBP|VERB|0|1
accomplished|4|0.0009874917709019092|9.983943653780928|29.951830961342786|accomplish|VBD|VERB|0|1
accomplishments|6|0.0019749835418038184|8.983943653780928|53.90366192268557|accomplish|NNS|NOUN|0|1
accordin|1|0.0003291639236339697|11.568906154502084|11.568906154502084|accordin|NN|NOUN|0|1
according|2|0.0006583278472679394|10.568906154502084|21.13781230900417|accord|VBG|VERB|0|1
